product_name,product_url,product_price
HP PAVILION 14-DV0553TU 14-INCH FULL HD DISPLAY INTEL CORE I7 11TH GEN 8GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/hp-pavilion-14-dv0553tu-laptop,"88,000৳"
HP 15S-FQ5886TU 15.6 INCH FULL HD DISPLAY INTEL CORE I5 12TH GEN 8GB RAM 512GB LAPTOP,https://www.techlandbd.com/hp-15s-fq5886tu-i5-12th-gen-laptop,"77,000৳"
HP 15S-FQ3234TU 15.6 INCH FHD CELERON N4500 4GB RAM 256GB SSD LAPTOP,https://www.techlandbd.com/hp-15s-fq3234tu-laptop,"42,500৳"
HP 15S-EQ3334AU 15.6 INCH FULL HD DISPLAY RYZEN 7 5825U 8GB RAM 512 GB SSD LAPTOP,https://www.techlandbd.com/hp-15s-eq3334au-laptop,"82,800৳"
HP 15S-EQ2690AU 15.6 INCH FULL HD DISPLAY RYZEN 5 5500U 8GB RAM 512 GB SSD LAPTOP WITH VEGA GRAPHICS,https://www.techlandbd.com/hp-15s-eq2690au-laptop,"69,500৳"
HP 15S-EQ2171AU 15.6 INCH FULL HD DISPLAY RYZEN 3 5300U 8GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/hp-15s-eq2171au-laptop,"61,500৳"
HP 15S-DU3611TU 15.6 INCH FULL HD I3 11TH GEN 4GB RAM 1 TB HDD LAPTOP,https://www.techlandbd.com/hp-15s-du3611tu-laptop,"54,500৳"
HP 14S-FQ2123AU 14 INCH FULL HD DISPLAY RYZEN 5 5625U 8GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/hp-14s-fq2123au-ryzen-5-laptop,"69,000৳"
HP 14S-DQ5545TU 14 INCH FULL HD DISPAY INTEL CORE I7 12TH GEN 8GB RAM 512GB LAPTOP,https://www.techlandbd.com/hp-14s-dq5545tu-intel-i7-12th-gen-laptop,"93,000৳"
HP 14S-DQ5445TU 14 INCH FULL HD DISPLAY INTEL CORE I5 12TH GEN 8GB RAM 512GB LAPTOP,https://www.techlandbd.com/hp-14s-dq5445tu-i5-12th-gen-laptop,"77,000৳"
GALAXY TAB A8 10.5 INCH DISPLAY 4GB RAM 64GB ROM TABLET,https://www.techlandbd.com/galaxy-tab-a8-4gb-ram-tablet,"38,499৳"
GALAXY TAB A8 10.5 INCH DISPLAY 3GB RAM 32GB ROM TABLET,https://www.techlandbd.com/galaxy-tab-a8-3gb-ram-tablet,"34,099৳"
ASUS VIVOBOOK 15 X515EA 15.6 INCH FULL HD DISPLAY CORE I5 11TH GEN 8GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/asus-vivobook-15-x515ea-core-i5-8gb-laptop,"72,000৳"
ASUS TUF F15 FX506HE 15.6 INCH 144HZ FULL HD DISPLAY I5 11TH GEN 8GB RAM 512GB SSD GAMING LAPTOP WITH RTX 3050 TI 4GB GRAPHICS,https://www.techlandbd.com/asus-tuf-f15-fx506he-i5-laptop,"131,500৳"
ACER SWIFT SF314-510G 14-INCH FULL HD IPS DISPLAY CORE I5 11TH GEN 16 GB RAM 32GB+512GB SSD LAPTOP,https://www.techlandbd.com/acer-swift-3x-sf314-510g-i5-laptop,"111,500৳"
ACER SPIN 3 SP313-51N 13.3 INCH WQXGA MULTI-TOUCH DISPLAY CORE I5 11TH GEN 8GB RAM 512GB SSD 2-IN-1 LAPTOP,https://www.techlandbd.com/acer-spin-3-sp313-51n-core-i5-laptop,"96,890৳"
ACER ONE 14 Z2-493 14 INCH DISPLAY RYZEN 3-3250U 4GB RAM 1TB HDD 128GB SSD LAPTOP WITH RADEON GRAPHICS,https://www.techlandbd.com/acer-one-14-z2-493-laptop,"42,800৳"
ACER NITRO 5 AN515-48 15.6 INCH FHD DISPLAY CORE I5 12TH GEN 8GB RAM 512GB SSD LAPTOP WITH RTX 3050 4GB GRAPHICS,https://www.techlandbd.com/acer-nitro-5-an515-48-core-i5-12th-laptop,"123,000৳"
